A,B,C,D,E,F,G,H,I,J,K
82,94,100,0,100,0,1,585311,1,0,0
83,92,100,0,100,0,98,5882,1,0,0
82,85,100,0,100,0,96,8990,1,0,0
82,96,100,0,100,0,92,16771,1,0,0
82,91,100,0,100,0,96,9345,1,0,0
82,92,100,0,100,0,100,0,1,0,0
74,91,100,0,100,0,96,9856,1,0,0
76,90,100,0,100,0,89,22835,1,0,0
78,92,100,0,100,0,96,9016,1,0,0
84,84,100,0,100,0,77,46628,1,0,0
84,98,100,0,100,0,90,21276,1,0,0
72,92,100,0,100,0,99,3687,1,0,0
81,96,100,0,100,0,93,15455,1,0,0
83,99,100,0,100,0,97,7412,1,0,0
80,96,100,0,100,0,86,29912,1,0,0
82,87,100,0,100,0,100,0,1,0,0
83,97,100,0,100,0,86,28260,1,0,0
82,96,100,0,100,0,97,7741,1,0,0
78,90,100,0,100,0,98,4929,1,0,0
79,88,100,0,100,0,29,142594,1,0,0
68,92,100,0,100,0,95,11788,1,0,0
78,85,100,0,100,0,93,15678,1,0,0
79,95,100,0,100,0,79,43484,1,0,0
84,95,100,0,100,0,96,9945,1,0,0
79,92,100,0,100,0,91,18732,1,0,0
77,84,100,0,100,0,93,15910,1,0,0
82,84,100,0,100,0,100,0,1,0,0
83,90,100,0,100,0,84,33280,1,0,0
82,90,100,0,100,0,95,10804,1,0,0
82,94,100,0,100,0,97,6044,1,0,0
79,85,100,0,100,0,99,3204,1,0,0
80,90,100,0,100,0,72,56166,1,0,0
80,97,100,0,100,0,95,11538,1,0,0
80,92,100,0,100,0,100,0,1,0,0
83,97,100,0,100,0,100,0,1,0,0
82,90,100,0,100,0,100,0,1,0,0
83,94,100,0,100,0,80,40375,1,0,0
82,93,100,0,100,0,93,14800,1,0,0
83,96,100,0,100,0,94,12232,1,0,0
76,86,100,0,100,0,100,0,1,0,0
64,93,100,0,100,0,95,10587,1,0,0
84,92,100,0,100,0,100,0,1,0,0
84,90,100,0,100,0,97,7042,1,0,0
83,93,100,0,100,0,95,11097,1,0,0
79,92,100,0,100,0,100,0,1,0,0
80,85,100,0,100,0,100,0,1,0,0
79,92,100,0,100,0,98,5818,1,0,0
72,85,100,0,100,0,93,14009,1,0,0
82,97,100,0,100,0,98,4376,1,0,0
83,85,100,0,100,0,97,7499,1,0,0
77,85,100,0,100,0,82,36278,1,0,0
78,93,100,0,100,0,85,30834,1,0,0
81,94,100,0,100,0,78,44991,1,0,0
73,90,100,0,100,0,93,14809,1,0,0
80,94,100,0,100,0,97,6398,1,0,0
83,85,100,0,100,0,100,0,1,0,0
76,88,100,0,100,0,100,0,1,0,0
83,92,100,0,100,0,98,5706,1,0,0
74,84,100,0,100,0,80,41075,1,0,0
75,95,100,0,100,0,89,23603,1,0,0
83,86,100,0,100,0,58,85204,1,0,0
83,94,100,0,100,0,96,8944,1,0,0
80,95,100,0,100,0,68,64798,1,0,0
80,86,100,0,100,0,96,8999,1,0,0
75,94,100,0,100,0,15,171380,1,0,0
82,85,100,0,100,0,96,9798,1,0,0
72,88,100,0,100,0,100,0,1,0,0
83,96,100,0,100,0,97,7839,1,0,0
84,90,100,0,100,0,96,9074,1,0,0
73,85,100,0,100,0,94,12841,1,0,0
80,86,100,0,100,0,88,24563,1,0,0
81,84,100,0,100,0,95,11817,1,0,0
83,86,100,0,100,0,53,95737,1,0,0
83,95,100,0,100,0,100,0,1,0,0
68,85,100,0,100,0,100,0,1,0,0
83,94,100,0,100,0,98,4143,1,0,0
83,98,100,0,100,0,98,5086,1,0,0
72,92,100,0,100,0,96,9085,1,0,0
83,99,100,0,100,0,93,14625,1,0,0
74,94,100,0,100,0,97,7138,1,0,0
75,84,100,0,100,0,100,0,1,0,0
82,84,100,0,100,0,97,6112,1,0,0
79,84,100,0,100,0,100,0,1,0,0
82,84,100,0,100,0,97,7585,1,0,0
77,85,100,0,100,0,96,9882,1,0,0
82,88,100,0,100,0,94,12353,1,0,0
83,94,100,0,100,0,93,14375,1,0,0
82,85,100,0,100,0,90,20946,1,0,0
72,84,100,0,100,0,81,39057,1,0,0
78,85,100,0,100,0,97,7411,1,0,0
83,90,100,0,100,0,98,4820,1,0,0
82,93,100,0,100,0,100,0,1,0,0
82,92,100,0,100,0,93,15320,1,0,0
77,96,100,0,100,0,94,13845,1,0,0
84,98,100,0,100,0,70,61157,1,0,0
82,97,100,0,100,0,93,14606,1,0,0
81,84,100,0,100,0,96,9563,1,0,0
80,94,100,0,100,0,86,28841,1,0,0
73,96,100,0,100,0,95,11049,1,0,0
77,90,100,0,100,0,96,8256,1,0,0
83,94,100,0,100,0,95,10643,1,0,0
77,91,100,0,100,0,96,8714,1,0,0
83,93,100,0,100,0,95,11737,1,0,0
84,87,100,0,100,0,95,10312,1,0,0
80,91,100,0,100,0,95,11540,1,0,0
70,90,100,0,100,0,91,18924,1,0,0
83,89,100,0,100,0,93,14192,1,0,0
81,91,100,0,100,0,97,6998,1,0,0
83,91,100,0,100,0,97,6569,1,0,0
83,95,100,0,100,0,96,9673,1,0,0
79,93,100,0,100,0,94,12144,1,0,0
82,86,100,0,100,0,100,0,1,0,0
77,87,100,0,100,0,21,158084,1,0,0
82,91,100,0,100,0,95,10681,1,0,0
81,84,100,0,100,0,92,17388,1,0,0
81,95,100,0,100,0,96,8685,1,0,0
83,90,100,0,100,0,93,15048,1,0,0
81,93,100,0,100,0,93,15499,1,0,0
82,90,100,0,100,0,97,6833,1,0,0
84,92,100,0,100,0,100,0,1,0,0
81,94,100,0,100,0,100,0,1,0,0
84,90,100,0,100,0,100,0,1,0,0
77,91,100,0,100,0,100,0,1,0,0
69,93,100,0,100,0,100,0,1,0,0
79,91,100,0,100,0,100,0,1,0,0
76,94,100,0,100,0,100,0,1,0,0
82,94,100,0,100,0,38,125375,1,0,0
68,84,100,0,100,0,95,11599,1,0,0
84,90,100,0,100,0,100,0,1,0,0
82,94,100,0,100,0,100,0,1,0,0
82,99,100,0,100,0,96,9038,1,0,0
81,90,100,0,100,0,100,0,1,0,0
80,99,100,0,100,0,75,51083,1,0,0
83,95,100,0,100,0,95,10021,1,0,0
83,88,100,0,100,0,86,28153,1,0,0
84,94,100,0,100,0,95,11383,1,0,0
80,94,100,0,100,0,100,0,1,0,0
83,92,100,0,100,0,100,0,1,0,0
75,96,100,0,100,0,100,0,1,0,0
80,96,100,0,100,0,61,78508,1,0,0
83,94,100,0,100,0,98,5659,1,0,0
79,90,100,0,100,0,100,0,1,0,0
83,93,100,0,100,0,100,0,1,0,0
83,96,100,0,100,0,97,7117,1,0,0
81,94,100,0,100,0,96,9153,1,0,0
82,88,100,0,100,0,97,6924,1,0,0
77,97,100,0,100,0,76,48991,1,0,0
82,85,100,0,97,3,97,7953,1,8,8
83,90,100,0,100,0,95,11591,1,0,0
81,86,100,0,100,0,78,45565,1,0,0
79,97,100,0,100,0,96,8114,1,0,0
82,96,100,0,100,0,95,10990,1,0,0
81,91,100,0,100,0,97,7915,1,0,0
84,85,100,0,100,0,90,20834,1,0,0
84,94,100,0,100,0,97,7450,1,0,0
81,90,100,0,100,0,81,38873,1,0,0
